"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93","1","Manchester United (C)",38,28,5,5,86,43,"+43",89,"Qualification for the Champions League group stage"
"1992–93","2","Manchester City",38,23,9,6,66,34,"+32",78,"Qualification for the Champions League group stage"
"1992–93","3","Chelsea",38,22,9,7,75,39,"+36",75,"Qualification for the Champions League group stage"
"1992–93","4","Arsenal",38,21,10,7,72,37,"+35",73,"Qualification for the Champions League play-off round"
"1992–93","5","Tottenham Hotspur",38,21,9,8,66,46,"+20",72,"Qualification for the Europa League play-off round"
"1992–93","6","Everton",38,16,15,7,55,40,"+15",63,""
"1992–93","7","Liverpool",38,16,13,9,71,43,"+28",61,""
"1992–93","8","West Bromwich Albion",38,14,7,17,53,57,"-4",49,""
"1992–93","9","Swansea City",38,11,13,14,47,51,"-4",46,"Qualification for the Europa League third qualifying round[b]"
"1992–93","10","West Ham United",38,12,10,16,45,53,"-8",46,""
"1992–93","11","Norwich City",38,10,14,14,41,58,"-17",44,""
"1992–93","12","Fulham",38,11,10,17,50,60,"-10",43,""
"1992–93","13","Stoke City",38,9,15,14,34,45,"-11",42,""
"1992–93","14","Southampton",38,9,14,15,49,60,"-11",41,""
"1992–93","15","Aston Villa",38,10,11,17,47,69,"-22",41,""
"1992–93","16","Newcastle United",38,11,8,19,45,68,"-23",41,""
"1992–93","17","Sunderland",38,9,12,17,41,54,"-13",39,""
"1992–93","18","Wigan Athletic (R)",38,9,9,20,47,73,"-26",36,"Qualification for the Europa League group stage[a]Relegation to the Football League Championship"
"1992–93","Qualification for the Europa League group stage[a]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992–93","Relegation to the Football League Championship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
