Team,League,Wins
Virginia,NCAAB,1
Villanova,NCAAB,3
North Carolina,NCAAB,6
Duke,NCAAB,5
Connecticut,NCAAB,4
Louisville,NCAAB,3
Kentucky,NCAAB,8
Kansas,NCAAB,3
Florida,NCAAB,2
Syracuse,NCAAB,1
Maryland,NCAAB,1
Michigan State,NCAAB,2
Arizona,NCAAB,1
UCLA,NCAAB,11
Arkansas,NCAAB,1
UNLV,NCAAB,1
Michigan,NCAAB,1
Indiana,NCAAB,5
Georgetown,NCAAB,1
North Carolina State,NCAAB,2
Marquette,NCAAB,1
UTEP,NCAAB,1
Loyola,NCAAB,1
Cincinnati,NCAAB,2
Ohio State,NCAAB,1
California,NCAAB,1
San Francisco,NCAAB,2
La Salle,NCAAB,1
CCNY,NCAAB,1
Holy Cross,NCAAB,1
Oklahoma State,NCAAB,2
Utah,NCAAB,1
Wyoming,NCAAB,1
Stanford,NCAAB,1
Wisconsin,NCAAB,1
Oregon,NCAAB,1
