Team,League,Wins
Louisiana,NCAAF,2
Clemson,NCAAF,3
Alabama,NCAAF,8
Ohio State,NCAAF,4
Florida State,NCAAF,3
Auburn,NCAAF,1
Florida,NCAAF,3
Texas,NCAAF,3
USC,NCAAF,6
Miami,NCAAF,4
Oklahoma,NCAAF,6
Tennessee,NCAAF,2
Nebraska,NCAAF,3
Notre Dame,NCAAF,8
Penn State,NCAAF,2
BYU,NCAAF,1
Georgia,NCAAF,1
Pittsburgh,NCAAF,3
Syracuse,NCAAF,1
Maryland,NCAAF,1
Michigan State,NCAAF,1
Michigan,NCAAF,4
Army,NCAAF,3
Minnesota,NCAAF,5
Texas A&M,NCAAF,1
Texas Christian,NCAAF,1
Georgia Tech,NCAAF,2
California,NCAAF,1
Cornell,NCAAF,1
Harvard,NCAAF,5
Yale,NCAAF,16
Princeton,NCAAF,9
Chicago,NCAAF,1
Penn,NCAAF,2
None selected,NCAAF,1
