Team,Primary Color,Secondary Color,League
Arizona Cardinals,#97233F,#FFB612,NFL
Atlanta Falcons,#A71930,#000000,NFL
Baltimore Ravens,#241773,#000000,NFL
Buffalo Bills,#C60C30,#00338D,NFL
Carolina Panthers,#0085ca,#000000,NFL
Chicago Bears,#0B162A,#C83803,NFL
Cincinnati Bengals,#FB4F14,#101820,NFL
Cleveland Browns,#FF3C00,#311D00,NFL
Dallas Cowboys,#041E42,#869397,NFL
Denver Broncos,#024,#FB4F14,NFL
Detroit Lions,#0076B6,#B0B7BC,NFL
Green Bay Packers,#203731,#FFB612,NFL
Houston Texans,#03202F,#A71930,NFL
Indianapolis Colts,#002C5F,#002C5F,NFL
Jacksonville Jaguars,#006778,#D7A22A,NFL
Kansas City Chiefs,#E31837,#FFB81C,NFL
Los Angeles Chargers,#002A5E,#FFC20E,NFL
Los Angeles Rams,#002244,#002244,NFL
Miami Dolphins,#008E97,#F26A24,NFL
Minnesota Vikings,#512D6D,#FFB81C,NFL
New England Patriots,#002244,#C60C30,NFL
New Orleans Saints,#D3BC8D,#000; c,NFL
New York Giants,#0B2265,#A71930,NFL
New York Jets,#003F2D,#003F2D,NFL
Oakland Raiders,#000000,#A5ACAF,NFL
Philadelphia Eagles,#004C54,#A5ACAF,NFL
Pittsburgh Steelers,#000,#FFB612,NFL
San Francisco 49ers,#AA0000,#B3995D,NFL
Seattle Seahawks,#002244,#69BE28,NFL
Tampa Bay Buccaneers,#D50A0A,#0A0A08,NFL
Tennessee Titans,#002A5C,#4495D1,NFL
Washington Redskins,#773141,#FFB612,NFL
Houston Oilers,#4691df,#cc122c,NFL
Atlanta Hawks,#E03A3E,#C1D32F,NBA
Boston Celtics,#007a33,#BA9653,NBA
Brooklyn Nets,#000,#fff,NBA
Charlotte Hornets,#1D1160,#00788c,NBA
Chicago Bulls,#CE1141,#000000,NBA
Cleveland Cavaliers,#6f263d,#ffb81c,NBA
Dallas Mavericks,#00538C,#B8C4CA,NBA
Denver Nuggets,#00285E,#ffc72c,NBA
Detroit Pistons,#ED174C,#006BB6,NBA
Golden State Warriors,#006BB6,#fdb927,NBA
Houston Rockets,#ce1141,#000000,NBA
Indiana Pacers,#002D62,#fdbb30,NBA
Los Angeles Clippers,#ED174C,#006bb6,NBA
Los Angeles Lakers,#552583,#ffc72c,NBA
Memphis Grizzlies,#6189B9,#00285E,NBA
Miami Heat,#98002e,#F9A01B,NBA
Milwaukee Bucks,#00471b,#eee1c6,NBA
Minnesota Timberwolves,#0c2340,#236192,NBA
New Orleans Pelicans,#002b5c,#E31837,NBA
New York Knicks,#006BB6,#f58426,NBA
Oklahoma City Thunder,#007AC1,#ef3b24,NBA
Orlando Magic,#0057b8,#c2ccd2,NBA
Philadelphia 76ers,#006BB6,#ED174C,NBA
Phoenix Suns,#1D1160,#e56020,NBA
Portland Trail Blazers,#E03A3E,#000000,NBA
Sacramento Kings,#5A2D81,#63727a,NBA
